Lesson,Kanji,On,Kun,Trans
5,一,イチ、イツ,ひとつ,один
1,丁,テイ、チョー,—,"лист, чётный"
5,七,シチ,ななつ,семь
5,万,マン、バン,—,десять тысяч
1,丈,ジョー,たけ,"крепкий, здоровый, высота"
5,三,サン,"みっつ
(みつ)",три
5,上,ジョー,うえ、あげる、のぼる,верх
5,下,カ、ゲ,した、くださる、おりる、さがる,низ
4,不,"フ
(ブ)",—,не (говоря о чём-то плохом)
3,与,ヨ,あたえる,"давать, предоставлять, участвовать"
4,世,セ、セイ,よ,"мир, эпоха, поколение"
3,両,リョー,—,оба
3,並,ヘイ,なみ、ならべる,"ряд, расставлять, обычный"
5,中,チュー,なか,"середина, внутри, во время, в течение"
3,丸,ガン,まる,круг
4,主,シュ,ぬし、おも,хозяин
3,久,キュー,ひさしい,"долгий, продолжительный"
4,乗,ジョー,のる,"ехать, умножать, возводить в степень"
5,九,キュー、ク,ここのつ,девять
3,乱,ラン,みだれる,"беспорядок, злоупотребление"
2,乳,,,milk
2,乾,,,dry
2,了,リョー,—,"конец, понимать"
3,予,ヨ,—,заранее
3,争,ソー,あらそう,"спор, борьба"
4,事,ジ,こと,"дело, обстоятельство"
5,二,ニ,ふたつ,два
2,互,,,mutually
5,五,ゴ,いつつ,пять
1,井,セイ,い,колодец
2,亡,ボー,ない,"покойный, смерть"
3,交,コー,まじわる,"обмениваться, смешивать, пересекаться, отношения"
4,京,キョー、ケイ,—,столица
1,亭,,,pavilion
5,人,ジン、ニン,ひと,человек
5,今,コン,いま,сейчас
3,介,カイ,—,посредничать
3,仏,ブツ,ほとけ,Будда
4,仕,シ,つかえる,"служить, делать"
3,他,タ,ほか,другой
3,付,フ,つける,присоединять
1,仙,,,hermit
4,代,ダイ,かわる、よ,"менять местами, эпоха, плата"
2,令,レイ,—,"приказ, вежливый префикс, указывающий на родство"
4,以,イ,—,"посредством, префикс направления"
2,仮,カ,かり,"временный, ненастоящий, предполагаемый"
1,仰,ギョー,あおぐ、おおせ,смотреть вверх
3,仲,チュー,なか,"отношения, посредник"
3,件,ケン,—,"дело, происшествие"
3,任,ニン,まかせる,"поручать, доверять, назначать"
1,伏,,,prostrated
5,休,キュー,やすむ,отдых
5,会,"カイ
(エ)",あう,"встреча, собрание"
3,伝,デン,つたわる,"передаваться, вдоль"
1,伯,,,chief
1,伴,,,consort
3,伸,シン,のびる,растягиваться
2,伺,,,pay respects
3,似,ジ,にる,похожий
3,位,イ,くらい,"ранг, позиция, настолько"
4,低,テイ,ひくい,низкий
4,住,ジュー,すむ,"жить, проживать"
1,佐,サ,—,старший офицер
4,体,"タイ
(テイ)",からだ,"тело, вещество, корпус"
5,何,カ,なに、なん,что
3,余,ヨ,あまる,избыток
4,作,サク、サ,つくる,создавать
1,併,,,join
4,使,シ,つかう,пользоваться
3,例,レイ,たとえる,пример
1,侍,,,waiter
3,供,キョー、ク,とも、そなえる,предоставлять
2,依,,,reliant
2,価,カ,あたい,"цена, ценность"
4,便,ベン、ビン,たより,"удобство, почта, выделения"
3,係,ケイ,かかり、かかる,главный
1,俗,,,vulgar
3,保,ホ,たもつ,"сохранять, поддерживать, заботиться, ручаться"
3,信,シン,—,"доверие, сигнал, сообщение"
2,修,シュー,おさめる,"учиться, чинить"
1,俳,,,actor
1,俺,—,おれ,я (исп. мужчинами)
1,倉,ソー,くら,склад
3,個,コ,—,индивидуальный
2,倍,バイ,—,дважды
3,倒,トー,たおれる,"падать, валиться"
3,候,コー,そうろう,"климат, симптом"
4,借,シャク,かりる,брать взаймы
2,値,チ,ね、あたい,"величина, цена"
2,偉,,,admirable
2,停,,,останавливаться
2,健,,,здоровый
3,側,ソク,がわ,сторона
2,偶,,,accidentally
1,傍,ボー,かたわら,"сбоку, наблюдатель"
2,備,ビ,そなえる,"запасать, оборудовать, готовиться"
1,傷,ショー,きず、いたむ,рана
2,傾,,,lean
4,働,ドー,はたらく,работа
3,像,ゾー,—,"статуя, изображение"
